title,text,create_dttm,link
Инвалид-колясочник поджег себя у Белого дома,"Перед Белым домом поджег себя мужчина на инвалидном кресле. Об этом сообщает Секретная служба США на своей официальной странице в социальной сети Twitter.
 Сейчас инвалида госпитализировали в местную больницу. Имеющиеся у него травмы не представляют угрозу для жизни. При этом мотивы его поступка остаются неизвестными.
Происшествие произошло на Пенсильвания-авеню за линией забора Белого дома. Офицеры, которые находились неподалеку, потушили огонь и оказали мужчине первую помощь. Стоит отметить, что это место постоянно собирает туристов. Однако в результате инцидента улицу временно перекрыли для них.",2019-04-13T08:30,https://moika78.ru/news/2019-04-13/217309-invalid-kolyasochnik-podzheg-sebya-u-belogo-doma/
В ЗакСе предлагают возить инвалидов к нотариусам на соцтакси,"Депутаты Законодательного собрания Петербурга предлагают дополнить маршруты социального такси нотариальными конторами, чтобы маломобильные граждане могли сэкономить.
 Авторы документа отметили, что сейчас маломобильные категории граждан вынуждены вызывать нотариусов на дом, их выездная работа оплачивается в полуторном объеме, вдобавок нужно возмещать транспортные расходы. По этой причине меры социальной поддержки нужно расширить.
 В частности, предлагается внести в список социально значимых объектов на территории Петербурга нотариальные конторы.
 Сейчас услуга социального такси представляется в Петербурге отдельным категориям инвалидов. Из городского бюджета оплачивается 50-90% стоимости перевозки в зависимости от категории и группы инвалидности.
 На социальном такси можно доехать для получения государственных, медицинских, социальных, реабилитационных и других услуг. Всего в перечне около 4,6 тысяч социально значимых объектов.
Соответствующий законопроект внесли в ЗакС депутаты Александр Тетердинко и Павел Зеленков (фракция «Единая Россия»).",2019-04-16T11:34,https://moika78.ru/news/2019-04-16/218394-v-zakse-predlagayut-vozit-invalidov-k-notariusam-na-sotstaksi/
Беглов дал старт чемпионату «Абилимпикс» для людей с инвалидностью,"В Петербурге прошла церемония открытия четвертого по счету чемпионата профессионального мастерства среди инвалидов и лиц с ограниченными возможностями «Абилимпикс». В ней принял участие врио губернатора города Александр Беглов.
 Мероприятие состоялось на Большом проспекте Васильевского острова. Градоначальник отметил, что для участия в турнире собрались мужественные и сильные люди, настроенные на победу.
 Он добавил, что город всегда создавал все необходимые условия для людей с ограниченными возможностями.
 Напомним, регистрацию для участия в турнире прошли 158 людей с инвалидностью. Они посоревнуются в 26 дисциплинах. Все компетенции отбирались с учетом наиболее востребованных профессий среди людей с ограниченными возможностями. Финалисты получат денежное вознаграждение в размере от 50 до 200 тысяч рублей.
 Ранее сообщалось, что Беглов примет участие в апрельском субботнике.
",2019-04-17T10:58,https://moika78.ru/news/2019-04-17/218826-beglov-dal-start-chempionatu-abilimpiks-dlya-lyudej-s-invalidnostyu/
Подозреваемого в жестоком избиении инвалида задержали в Кронштадте,"В Кронштадте задержали 38-летнего местного жителя. Его подозревают в избиении мужчины, который с детства страдает тяжелым заболеванием. Об этом сообщает ГУ МВД по Петербургу.
 Вскоре сотрудники правоохранительных органов задержали 38-летнего мужчину, подозреваемого по этому делу. У него уже есть судимость.
 Сейчас полицейские проводят по данному факту проверку, а также решается вопрос о возбуждении уголовного дела о побоях.
В полицию Кронштадтского района сегодня, 18 апреля, обратился 58-летний местный житель с инвалидностью. Он рассказал, что на лестничной клетке на него напал неизвестный гражданин. Тот начал избивать беззащитного инвалида из-за обычного замечания.",2019-04-18T19:38,https://moika78.ru/news/2019-04-18/219602-podozrevaemogo-v-zhestokom-izbienii-invalida-zaderzhali-v-kronshtadte/
Прокуратура Петербурга требует от владельцев магазинов обеспечить доступ инвалидов ко входу,"В деятельности ООО «Концерн Питер» прокуратура Петербурга нашла нарушения. Речь идет о несоблюдении законодательства в сфере социальной защиты инвалидов.
 Как сообщили в пресс-службе ведомства, организация не обеспечила ряд торговых комплексов необходимой инфраструктурой для маломобильных групп населения. Так, например, пандусы у входа в ТРК «Питер» установлены без ограждений и поручней.
 Кроме того, снаружи отсутствуют устройства, которые помогают инвалидам выйти на связь со сотрудниками торгового центра, а на стоянке для этой категории граждан не предусмотрены парковочные места.
 По данному факту было вынесено несколько представлений. Устранение нарушений находится на контроле прокуратуры.
 Ранее сообщалось, что сотрудников управляющей компании в Василеостровском районе обязали проверить квартиру петербуржца на наличие плесени и грибка.
",2019-04-22T10:33,https://moika78.ru/news/2019-04-22/220896-prokuratura-peterburga-trebuet-ot-vladeltsev-magazinov-obespechit-dostup-invalidov-ko-vhodu/
"На трудоустройстве инвалидов петербуржец нажился на 7,5 миллионов рублей","В Петербурге будут судить мужчину, обвиняемого в подделке документов на получение субсидий на рабочие места для инвалидов.
 Так, по данным следствия, в период с марта по ноябрь 2015 года злоумышленник разработал преступный план незаконного обогащения, направленный на хищение бюджетных денежных средств города в виде субсидий, распорядителем которых являлся один из комитетов Петербурга.
 Таким образом, обвиняемый получил в своё распоряжение бюджетные средства в размере 7,5 млн рублей. Он использовал их по своему усмотрению: приобрел технику для своей типографии.
 Злоумышленник был задержан в апреле 2018 года, сейчас он находится под стражей. Все материалы дела направлены в Куйбышевский районный суд для рассмотрения по существу.
Как сообщает пресс-служба ГУ МВД России по Петербургу и Ленобласти, 41-летний петербуржец обвиняется в совершении трех преступлений по статье «Мошенничество».
В частности, обвиняемый оформил три юридических организации с номинальными руководителями, не осуществлявшими расчетно-хозяйственную деятельность. От их имени он подготовил пакет фальшивых документов, необходимых для получения субсидий, и предоставил в один из комитетов. Сотрудники учреждения, не подозревая об истинных намерениях злоумышленника, предоставили его компаниям субсидии на создание рабочих мест для лиц с ограниченными возможностями.
По данным следствия, приобретенная техника была использована злоумышленником в корыстных интересах, с целью извлечения собственной выгоды. Лица с ограниченными возможностями не были трудоустроены в его компании, заработную плату не получали. Напротив, злоумышленник нанял на рабочие места граждан, не относящихся к категории инвалидов, но обладающих знаниями и навыками в типографской деятельности.",2019-04-28T09:58,https://moika78.ru/news/2019-04-28/223966-na-trudoustrojstve-invalidov-peterburzhets-nazhilsya-na-7-5-millionov-rublej/
Беглов призвал приспособить Петербург для инвалидов,"В Петербурге необходимо максимально приспособить городскую среду к людям с ограниченными возможностями, заявил на заседании городской администрации врио губернатора Александр Беглов. Заседание целиком посвящено социальным вопросам, включая проблемы пожилых людей.
 Он отметил, что люди с ограниченными возможностями должны пользоваться первоочередным вниманием властей. В качестве примера он привел закупку низкопольных автобусов, на которые можно поднимать инвалидные коляски.
 Главное же, по словам Беглова, это простое человеческое внимание к таким людям.
",2019-04-30T12:32,https://moika78.ru/news/2019-04-30/224962-beglov-prizval-prisposobit-peterburg-dlya-invalidov/
В Сланцах инвалида подозревают в изнасиловании шестилетней девочки,"В городе Сланцы Ленобласти инвалида подозревают в изнасиловании шестилетней девочки. Об этом рассказали в правоохранительных органах.
 Как сообщает 78.ru, инцидент произошел в период с 17 по 24 апреля. Отмечается, что подозреваемый является инвалидом второй группы. Кроме того, 29 апреля он был помещен на лечение в неврологическое отделение.
 По факту инцидента проводится проверка.
 Напомним, ранее «Мойка78» сообщала, что жители Мурино самостоятельно задержали гражданина Узбекистана, которого подозревают в попытке изнасиловать 17-летнюю местную жительницу в парадной жилого дома на улице Авиаторов. В ожидании полиции предполагаемому насильнику в кровь разбили лицо.
 А в начале апреля стало известно, что педофил, притворяясь двумя девушками, заставлял 13-летнюю петербурженку присылать ему голые фото, после чего начал шантажировать ее этими снимками.
",2019-05-01T15:50,https://moika78.ru/news/2019-05-01/225669-v-slantsah-invalida-podozrevayut-v-iznasilovanii-shestiletnej-devochki/
В России упростят процедуру оформления инвалидности,"Получить инвалидность в России станет проще. Постановление о новых правилах признания гражданина инвалидом в скором времени подпишет глава правительства России Дмитрий Медведев.
 Благодаря новым правилам люди с ограниченными возможностями смогут меньше времени тратить на посещение различных инстанций для оформления инвалидности. Необходимые документы можно будет сделать через единый портал госуслуг, заверил Медведев.
 Глава правительства также рассказал о госпрограмме, реализация которой подразумевает создание объектов социальной, инженерной, транспортной инфраструктуры для инвалидов. Ее продлили до 2025 года.
Дмитрий Медведев пообещал подписать документ о новых правилах правилах признания инвалидности. Документ сократит сроки и упросит процедуру освидетельствования медкомиссией, в том числе за счет перехода на электронный документооборот. Об этом сообщил премьер-министр во вторник, 7 мая.",2019-05-08T03:00,https://moika78.ru/news/2019-05-08/227827-v-rossii-uprostyat-protseduru-oformleniya-invalidnosti/
ТЦ в Ломоносове обязали оборудовать вход для инвалидов,"Руководство торгового центра «Family Парк» в Ломоносове привлекли к административной ответственности. «Под раздачу» попал инженер, который спроектировал вход в комплекс с нарушением закона о доступной среде для инвалидов.
 Представление также вынесли в отношении собственника ТЦ, который по совместительству является директором ООО «Жилой комплекс на прудах». Его обязали устранить соответствующие нарушения.
 С проверкой в развлекательный комплекс пришли представители прокуратуры Петродворцового района. Им сообщили о нарушениях требований законодательства по защите инвалидов.
 Это не все нарушения, которые были выявлены во время осмотра. Контроль за устранением недочетов взял на себя надзорный орган.
 Ранее «Мойка78» писала, что инженера Почтамта оштрафовали после проверки «Флигеля» на Расстанной улице.
",2019-05-14T12:12,https://moika78.ru/news/2019-05-14/230229-tts-v-lomonosove-obyazali-oborudovat-vhod-dlya-invalidov/
На переходах у метро «Парнас» понизят бордюры для инвалидов,"В семи районах Петербурга понизят бордюрные камни. Работы будут вестись по 43 адресам, сообщает комитет по развитию транспортной инфраструктуры.
 Отметим, что пешеходные переходы по этим адресам также оборудуют тактильными устройствами.
 В комитете добавили, что специалисты также адаптируют маршрут передвижения для инвалидов от станции метро «Новочеркасская» до школы-интерната № 1 им. К.К. Грота Красногвардейского района Санкт-Петербурга.
 В настоящее время центр готовит сметы и изменения в адресную программу.
В ходе проверки пешеходных переходов Городской центр управления парковками выявил 43 адреса, которые не отвечают требованиям доступности для маломобильных петербуржцев. Занижение бордюрных камней планируется провести в Московском, Фрунзенском, Кировском, Выборгском, Красносельском, Красногвардейском, Центральном районах Северной столицы до конца года.
Работы планируется проводить в том числе на Московском проспекте, площади Победы, улицах Фрунзе, Турку, Будапештской, Ярослава Гашека, Доблести, а также на Греческом проспекте, проспекте Героев и у метро «Парнас».",2019-05-14T18:48,https://moika78.ru/news/2019-05-14/230416-na-perehodah-u-metro-parnas-ponizyat-bordyury-dlya-invalidov/
В ЗакСе предложили способ помочь с работой для инвалидов,"Законодательное собрание Петербурга 15 мая приняло в первом чтении законопроект, который должен посодействовать социальной занятости инвалидов трудоспособного возраста.
 Законопроект был внесен комитетом ЗакСа по законодательству. Под социальной занятостью инвалидов трудоспособного возраста понимается организация временных рабочих мест для трудоустройства инвалидов. Депутат Денис Четырбок отметил, что максимальный срок временно занятости может составлять до 3 лет.
 Целью документа названо создание таких условий, в которых инвалиды могли бы реализовывать свое право на труд.
 В поддержку законопрокекта проголосовали 40 депутатов, один — против.
Речь идет о документе «О внесении изменения в статью 2 Закона Санкт-Петербурга «О разграничении полномочий органов государственной власти Санкт-Петербурга в области содействия занятости населения в Санкт-Петербурге».",2019-05-15T13:33,https://moika78.ru/news/2019-05-15/230731-v-zakse-predlozhili-sposob-pomoch-s-rabotoj-dlya-invalidov/
Петербурженка с ребенком-инвалидом попросила Беглова помочь с квартирой,"Жительница Центрального района Петербурга обратилась к врио губернатору Петербурга Александру Беглову с квартирным вопросом.
 Ранее «Мойка78» писала о том, что жительница Центрального района также попала на прием к Беглову. От имени жителей дома 133 на набережной Фонтанки, где проживает много молодых семей с детьми, она попросила установить во дворе детскую площадку.
Попав на личный прием к Беглову она рассказала, что вместе со своим ребенком-инвалидом вынуждена ютится в коммунальной квартире. По её словам, в таких условиях им очень трудно проживать. Она попросила врио губернатора города помочь им с предоставлением квартиры.",2019-05-16T14:23,https://moika78.ru/news/2019-05-16/231274-peterburzhenka-s-rebenkom-invalidom-poprosila-beglova-pomoch-s-kvartiroj/
"Петербуржец будет судиться с сестрой, ставшей опекуном для их матери-инвалида","В одной из петербургских семей давно назрел конфликт, из-за которого сестра с братом «делят» мать-инвалида. Николай (имя изменено) уверен в том, что его сестра плохо заботится о матери, с которой, благодаря ней, он видится лишь два раза в неделю, что, безусловно, стало для него серьезной психологической травмой. Судебные разбирательства продолжатся 3 июня в Санкт-Петербургском городском суде.
 Сестра истца, которая в данном судебном процессе выступает ответчиком, писала обращения на имя главы администрации МО «Светлановское» от 28 июня 2017 года и 25 июля того же года.
 В своих обращениях ответчик утверждала, что мать заболела по вине брата. Также она заявила о том, что брат «начал с «достойными» помощниками отрабатывать уже широко всем известные криминальные схемы по маминой квартире: недееспособность – опека – распил квартиры под предлогом очень необходимого и очень дорогостоящего лечения страшно любимой и очень дорогой мамы».
 Также Анна (имя изменено) писала, что аналогичную схему брат провернул с их 85-летним отцом, которого он якобы унижал и оскорблял, когда взял под опеку. При этом она утверждала, что Николай готов пойти даже на шантаж. Печальным примером такого шантажа, по словам сестры, является Наталья, его экс-супруга.
 Николай решил защищать себя через суд. Он требовал взыскать с сестры 300 тысяч рублей за принесенный ему моральный ущерб, а также сообщить главе администрации МО «Светлановское», что информация, которую сообщила сестра, является ложной.
 По решению суда Анна должна выплатить Николаю 30 тысяч рублей, а также опровергнуть указанные в сообщении обстоятельства путем направления сообщения на имя главы администрации МО «Светлановское» в письменном виде в течение двух недель с момента вступления решения суда в законную силу.
 Сторона ответчика (Анны) подала апелляцию, которую рассмотрят 20 мая.
 Николай утверждал, что сестра плохо заботится об их матери, которая является недееспособной — инвалидом.
 При этом Николай сделал запрос на проведение исследования специалистом «Академического экспертного центра», чтобы выяснить, почему на теле матери появились пролежни. Заключение было составлено 24 сентября в 2018 году.
 То есть если у человека имеются пролежни, то это всегда свидетельствует о ненадлежащем уходе за ним»,
Ранее Фрунзенский районный суд рассмотрел в открытом судебном заседании гражданское дело по иску Николая к его сестре Анне о защите чести и достоинства, компенсации морального вреда.
«Он не только отсудил половину купленной фактически ее родственниками квартиры, но теперь, насколько я понимаю, постоянно шантажирует Наталью» тем, что «заселит гастарбайтеров» на ту часть когда-то совместной жилплощади, которая после развода досталась ему.
В 2018 году Николай обращался в Комитет по здравоохранению Петербурга. Он направил заявление на имя Михаила Дубины, который, на тот момент, являлся председателем комитета. После волны кадровых перестановок в Смольном на его должность пришел Дмитрий Лисовец.",2019-05-20T17:20,https://moika78.ru/news/2019-05-20/232721-peterburzhets-budet-suditsya-s-sestroj-stavshej-opekunom-dlya-ih-materi-invalida/
Получить статус инвалида в России стало проще,"Вступили в силу обновлённые правила признания инвалидности. Теперь больные избавлены от необходимости лично подавать пакет документов в бюро медико-социальной экспертизы (МСЭ), сообщает пресс-служба правительства Российской Федерации.
 Медицинские данные и заключения врачей об ограниченной трудоспособности гражданина отныне будут передаваться в МСЭ напрямую, без участия самих пациентов. Делать это планируется при помощи электронных информационных систем, которыми до 2021-го года планируется снабдить до 90% медицинских организаций страны.
 В случае отсутствия подключения к подобного рода системам, документы планируется передавать в бумажном виде — однако, опять же, без участия больного.
",2019-05-21T14:39,https://moika78.ru/news/2019-05-21/233173-poluchit-status-invalida-v-rossii-stalo-proshhe/
"Беглов рассказал, как сделать Петербург более доступным для инвалидов","Временно исполняющий обязанности губернатора Петербурга Александр Беглов обозначил первоочередные задачи по обустройству Северной столицы, чтобы сделать передвижение по городу более доступным для людей с ограниченными возможностями.
 На выездном расширенном заседании Координационного совета по делам инвалидов Беглов дал рядж указаний. Так, главы районов должны будут составить перечни индивидуальных маршрутов инвалидов к социальным объектам и провести работы по улучшению их доступности. кроме того, необходимо будет усилить контроль за строительством жилья и реконструкцией дорог — многие автобусные остановки не приспособлены для низкопольного транспорта.
 Также врио губернатора отметил, что программа по улучшению доступности городской инфраструктуры для инвалидов будет учтена при формировании бюджета на следующий год.
Как сообщает пресс-служба губернатора, к таким задачам относится «повышение безбарьерной среды» и устранение недочетов при строительстве пандусов в городе. ",2019-05-23T01:38,https://moika78.ru/news/2019-05-23/233884-beglov-rasskazal-kak-sdelat-peterburg-bolee-dostupnym-dlya-invalidov/
"Прокуратура защитит инвалида от матери, которая не пускает его в квартиру","Прокуратура Невского района предъявила иск в районный суд Петербурга в защиту инвалида, которому мать не дает жить в его комнате в коммуналке.
 Напомним, в конце апреля»Мойка78″ сообщала, что прокуратура встала на защиту психически больной петербурженки и ее дочери, которых обманным путем оставили без квартиры и выгнали на улицу. Теперь мать находится на лечении в больнице имени Кащенко, а дочь — в приюте.
Как было установлено в ходе проверки, проведенной сотрудниками надзорного органа и полицейскими, обратившийся является инвалидом второй группы по общему заболеванию. Он снимает комнату в коммунальной квартире. Собственником еще одной комнаты в той же коммуналке является его мать. Она отказывается впускать его в квартиру и чинит ему препятствия из-за давнего конфликта и возникшей в следствие него личной неприязни. ",2019-05-24T13:55,https://moika78.ru/news/2019-05-24/234657-prokuratura-zashhitit-invalida-ot-materi-kotoraya-ne-puskaet-ego-v-kvartiru/
Прокуратура нашла нарушения в работе Центра реабилитации инвалидов,"Прокуратура Красносельского района Петербурга выявила нарушения в работе Центра социальной реабилитации инвалидов и детей-инвалидов. Об этом сообщили в пресс-службе надзорного органа.
 Кроме того, работа реабилитационной комиссии была признана неэффективной. В последнее время члены комиссии, которые должны обсуждать методы реабилитации детей-инвалидов, занимались только вопросами квалификации сотрудников.
 По итогам проверки прокуратура внесла в адрес руководства представление об устранении нарушений и взяла ситуацию под свой контроль.
В ходе проверки сотрудники прокуратуры установили, что в личных делах детей возрастом до трех лет, которые находятся в отделении раннего вмешательства, отсутствует индивидуальная программа предоставления социальных услуг, план рекомендаций родителям и другим лицам из близкого окружения маленьких пациентов, а также согласие представителей детей на обработку персональных данных.",2019-05-28T09:43,https://moika78.ru/news/2019-05-28/236157-prokuratura-priznala-rabotu-tsentra-reabilitatsii-invalidov-neeffektivnoj/
Упростились правила для парковки инвалидов в платных зонах,"В Петербурге инвалидам станет проще оставлять свое транспортное средство  в зоне платной парковки. Об этом сообщает ГКУ «Городской центр управления парковками Санкт-Петербурга».
 Такие транспортные средства не будут фиксироваться парковочной инспекцией, однако при необходимости автомобилист должен будет показать сотрудникам полиции удостоверение, подтверждающее факт установления инвалидности.
 Если же подобный документ отсутствует, водитель, оставивший транспорт на месте для инвалида может быть оштрафован на сумму 5 тыс. рублей.
 Напомним, ранее пользоваться парковками для инвалидов могли только инвалиды I и II групп.
Теперь при наличии специального знака «инвалид» на транспортном средстве автовладельцы с ограниченными возможностями I, II, III категорий или лица, которые их перевозят, могут бесплатно остановиться в зоне платной парковки на тех местах, где имеется знак или дорожная разметка «Инвалид».",2019-05-28T17:10,https://moika78.ru/news/2019-05-28/236459-uprostilis-pravila-dlya-parkovki-invalidov-v-platnyh-zonah/
В Петербурге пройдет пресс-тур в центр трудовой адаптации инвалидов,"В Петербурге 30 мая пройдет пресс-тур в Центр социально-трудовой адаптации людей с ограниченными возможностями «Мастер ОК».
 Организатор тура, ТАСС, отмечает, что мероприятие посвящено адаптации инвалидов на рынке труда в России.
 В ходе мероприятия гости смогут посетить несколько мастерских центра, а также пообщаться с инвалидами, которым помогает «Мастер ОК».
 Напомним, ранее временно исполняющий обязанности губернатора Петербурга Александр Беглов рассказал о том, как облегчить жизнь и перемещение инвалидов в городе.
Пресс-тур начнется в 11:00. В нем примут участие заместитель директора Центра занятости населения Северной столицы Елена Соколовская, директор центра «Мастер ОК» Иван Граевский и клиенты Центра Александр Габараев и Виктор Веселов. Они расскажут о сопровождении лиц с ограниченными возможностями на рынке труда и об их адаптации на рабочем месте.",2019-05-30T04:44,https://moika78.ru/news/2019-05-30/237241-v-peterburge-projdet-press-tur-v-tsentr-trudovoj-adaptatsii-invalidov/
Беглов: необходимо расширять рабочие места для инвалидов,"Необходимо расширять рабочие места для инвалидов в Петербурге. Об этом заявил временно исполняющий обязанности губернатора Петербурга Александр Беглов на заседании малого правительства города, которое проходит сегодня, 17 июня.
 Беглов отметил, что программа поддержки инвалидов крайне важна для города. Также он призвал расширить количество рабочих мест для людей с ограниченными возможностями.
 Ранее «Мойка78» писала о том, что на заседании Беглов также предложил внести на рассмотрение Законодательного собрания изменения в закон, связанный с ответственностью за уборку городских территорий.
Одной из тем обсуждения стало выполнение государственной программы по содействию занятости населения. На заседании представили доклад о трудоустройстве граждан с ограниченными возможностями.",2019-06-17T15:23,https://moika78.ru/news/2019-06-17/245196-beglov-neobhodimo-rasshiryat-rabochie-mesta-dlya-invalidov/
Бастрыкин поручил разобраться с проблемой инвалида-ипотечника из Петербурга,"Глава Следственного комитета России Александр Бастрыкин поручил оказать помощь инвалиду детства из Петербурга, который может лишиться квартиры.
 В сюжете сообщалось, что мать инвалида взяла ипотеку, но не успела ее погасить и скончалась. Сам молодой человек погашать долги по ипотеке не мог, долги росли, и теперь уже стоит вопрос о продаже единственного жилья. Но тогда мужчина может оказаться на улице.
 Александр Бастрыкин поручил оказать юридическую помощь инвалиду из Санкт-Петербурга, оказавшемуся в трудной жи… https://t.co/uwPhfHFAT2
 — Следственный комитет (@sledcom_rf) 17 июня 2019 г.
 
 Напомним, ранее «Мойка78» писала, что петербуржцы стали чаще влезать в ипотечные долги. За три месяца 2019 года горожане набрали жилищных кредитов на общую сумму 44 млрд рублей.
Как сообщается на сайте ведомства, один из телеканалов показал сюжет о 24-летнем инвалиде детства из Северной столицы. Молодой человек оказался в трудной жизненной ситуации: из-за долгов перед банком он может лишиться единственного жилья.
Председатель СК России Александр Бастрыкин поручил оказать консультативную и юридическую помощь молодому человеку. Возможные решения проблемы также поручено изучить руководству ГСУ СК России по Петербургу.",2019-06-18T07:01,https://moika78.ru/news/2019-06-18/245419-bastrykin-poruchil-razobratsya-s-problemoj-invalida-ipotechnika-iz-peterburga/
